#Wavelength [um], R power, Delta lambda [um]
0.513089, 90.909091, 0.005644
0.544503, 79.545455, 0.006845
0.607330, 64.772727, 0.009376
0.654450, 55.681818, 0.011753
0.732984, 46.590909, 0.015732
0.827225, 39.772727, 0.020799
0.952880, 34.090909, 0.027951
1.094241, 31.818182, 0.034390
1.219895, 30.681818, 0.039760
1.392670, 32.954545, 0.042260
1.565445, 36.363636, 0.043050
1.722513, 39.772727, 0.043309
1.863874, 44.318182, 0.042057
2.068063, 52.272727, 0.039563
2.272251, 60.227273, 0.037728
2.507853, 72.727273, 0.034483
2.727749, 85.227273, 0.032006
2.963351, 98.863636, 0.029974
3.183246, 113.636364, 0.028013
3.418848, 130.681818, 0.026162
3.654450, 150.000000, 0.024363
3.937173, 173.863636, 0.022645
4.172775, 195.454545, 0.021349
4.455497, 223.863636, 0.019903
4.722513, 253.409091, 0.018636
4.926702, 276.136364, 0.017842
5.115183, 298.863636, 0.017115
5.413613, 337.500000, 0.016040
5.492147, 347.727273, 0.015794
